Month,DayOfWeek,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,ArrDelay,DepDelay,Dest,Distance,Cancelled,CancellationCode,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
January,Thursday,800,,850,WN,,,SAT,192,True,Carrier,,,,,
January,Thursday,700,,830,WN,,,OAK,407,True,Carrier,,,,,
January,Thursday,1100,,1215,WN,,,OAK,337,True,Carrier,,,,,
January,Thursday,905,,1025,WN,,,SFO,337,True,Carrier,,,,,
January,Thursday,1620,,1740,WN,,,SFO,337,True,National Air System,,,,,
January,Thursday,1930,,2035,WN,,,SJC,308,True,Carrier,,,,,
January,Thursday,845,,1140,WN,,,BDL,777,True,Carrier,,,,,
January,Thursday,1925,,2045,WN,,,BNA,395,True,Carrier,,,,,
January,Thursday,600,,805,WN,,,DTW,229,True,Carrier,,,,,
January,Thursday,1110,,1215,WN,,,STL,251,True,Carrier,,,,,
January,Thursday,1445,,1550,WN,,,STL,251,True,Carrier,,,,,
January,Thursday,1705,,1810,WN,,,BUR,325,True,Carrier,,,,,
January,Thursday,1310,,1415,WN,,,BUR,325,True,Carrier,,,,,
January,Thursday,1500,,1615,WN,,,LAX,337,True,Carrier,,,,,
January,Thursday,1300,,1415,WN,,,LAX,337,True,Carrier,,,,,
January,Thursday,955,,1110,WN,,,ONT,361,True,Carrier,,,,,
January,Thursday,1550,,1715,WN,,,SAN,446,True,Carrier,,,,,
January,Thursday,1855,,2020,WN,,,SAN,446,True,Carrier,,,,,
January,Thursday,1045,,1205,WN,,,SNA,371,True,Carrier,,,,,
January,Thursday,1135,,1250,WN,,,OAK,361,True,Carrier,,,,,
January,Thursday,1435,,1440,WN,,,LAS,256,True,Carrier,,,,,
January,Thursday,1955,,2125,WN,,,OAK,446,True,Carrier,,,,,
January,Thursday,1255,,1425,WN,,,OAK,446,True,Carrier,,,,,
January,Thursday,1740,,1910,WN,,,OAK,446,True,Carrier,,,,,
January,Thursday,2050,,2255,WN,,,PHX,304,True,National Air System,,,,,
January,Thursday,1010,,1105,WN,,,DAL,248,True,Carrier,,,,,
January,Thursday,910,,955,WN,,,HOU,192,True,Carrier,,,,,
January,Thursday,710,,840,WN,,,LAX,337,True,Carrier,,,,,
January,Thursday,1430,,1555,WN,,,LAX,337,True,National Air System,,,,,
January,Thursday,1955,,2055,WN,,,BUR,296,True,Carrier,,,,,
January,Thursday,750,,850,WN,,,BUR,296,True,Carrier,,,,,
January,Thursday,1800,,1910,WN,,,LAX,308,True,Carrier,,,,,
January,Thursday,1950,,2105,WN,,,SNA,342,True,Carrier,,,,,
January,Thursday,1615,,1720,WN,,,BUR,358,True,Carrier,,,,,
January,Thursday,2125,,2245,WN,,,OAK,371,True,Carrier,,,,,
January,Thursday,1230,,1345,WN,,,SJC,342,True,Carrier,,,,,
January,Thursday,655,,755,WN,,,MDW,251,True,Carrier,,,,,
January,Thursday,1805,,1905,WN,,,MDW,251,True,Carrier,,,,,
January,Thursday,1235,,1335,WN,,,MDW,251,True,Carrier,,,,,
January,Friday,840,,955,WN,,,OAK,325,True,Carrier,,,,,
January,Friday,1020,,1135,WN,,,OAK,325,True,Carrier,,,,,
January,Friday,925,,1040,WN,,,SMF,358,True,Weather,,,,,
January,Friday,805,,920,WN,,,SMF,358,True,Carrier,,,,,
January,Friday,1000,,1100,WN,,,HOU,239,True,Carrier,,,,,
January,Friday,740,,840,WN,,,SAT,248,True,Carrier,,,,,
January,Friday,1225,,1230,WN,,,MDW,229,True,Carrier,,,,,
January,Friday,1230,,1325,WN,,,DAL,239,True,Carrier,,,,,
January,Friday,700,,830,WN,,,OAK,407,True,Carrier,,,,,
January,Friday,1730,,1850,WN,,,RNO,345,True,Weather,,,,,
January,Friday,910,,1045,WN,,,SFO,414,True,Weather,,,,,
January,Friday,1905,,2040,WN,,,SFO,414,True,National Air System,,,,,
January,Friday,1830,,2045,WN,,,PHX,370,True,Carrier,,,,,
January,Friday,1720,,1835,WN,,,RNO,390,True,Weather,,,,,
January,Friday,905,,1025,WN,,,SFO,337,True,Weather,,,,,
January,Friday,1430,,1550,WN,,,SFO,337,True,Carrier,,,,,
January,Friday,1245,,1405,WN,,,SFO,337,True,Weather,,,,,
January,Friday,1525,,1630,WN,,,SJC,308,True,Carrier,,,,,
January,Friday,910,,1015,WN,,,SJC,308,True,Carrier,,,,,
January,Friday,900,,1020,WN,,,SMF,373,True,Weather,,,,,
January,Friday,1330,,1450,WN,,,MDW,405,True,Carrier,,,,,
January,Friday,955,,1200,WN,,,DTW,229,True,Carrier,,,,,
